name;role;pma;pfc;slot;grade;expBonus;dpfcpma
ABANKWAH;D;0;1;8;33;6.05;0
ACERBI;D;14,5;19,1;3;80;6.16;4
ALEX SANDRO;D;2,5;1;8;48;6.01;-2
AMEY;D;0;1;8;33;5.82;0
AMIONE;D;0;1;8;51;5.70;0
ANTOV;D;0;1;8;36;5.63;0
AUGELLO;D;6;1;8;75;5.72;-5
BALLO-TOURE';D;1,8;1;8;36;5.91;-1
BASCHIROTTO;D;18,4;16;4;90;6.04;-2
BASTONI;D;31,1;27,2;2;81;6.26;-4
BELLANOVA;D;14,1;4,1;7;61;6.08;-10
BIJOL;D;8,1;11,9;5;83;6.04;4
BIRAGHI;D;18;21,9;2;68;6.32;4
BIRINDELLI;D;2,1;1;8;52;5.89;-1
BONIFAZI;D;0;1;8;40;5.71;0
BONUCCI;D;1,8;1;8;41;5.81;-1
BRADARIC;D;2,9;1;8;69;5.81;-2
BREMER;D;38,9;41,2;1;91;6.36;2
BRONN;D;0;1;8;46;5.67;0
BUONGIORNO;D;12,9;23;2;81;6.21;10
CABAL;D;0;1;8;43;5.73;0
CACACE;D;1,8;1;8;46;6.02;-1
CALABRIA;D;11,1;17,3;4;79;6.14;6
CALDIROLA;D;3,1;1;8;70;5.88;-2
CAMBIASO;D;2,6;1;8;45;6.13;-2
CARBONI F.;D;0;1;8;40;5.98;0
CARLOS AUGUSTO;D;44,8;37,2;1;86;6.35;-8
CASALE;D;11,3;13,8;5;82;6.07;3
CECCHERINI;D;2,4;1;8;63;5.63;-1
CELIK;D;1,6;1;8;45;5.99;-1
COPPOLA D.;D;0;1;8;38;5.72;0
CUADRADO;D;26,6;19,7;3;68;6.28;-7
DANILIUC;D;0;1;8;42;5.69;0
DANILO;D;38,2;32,2;2;91;6.24;-6
DARMIAN;D;9,8;4,7;7;70;6.02;-5
DAWIDOWICZ;D;1,6;1;8;46;5.70;-1
DE SCIGLIO;D;0;1;8;37;5.77;0
DE SILVESTRI;D;1,7;1;8;42;5.78;-1
DE VRIJ;D;3,6;1;8;49;5.76;-3
DE WINTER;D;1,8;1;8;36;5.63;-1
DEMIRAL;D;3,4;1;8;45;5.89;-2
DERMAKU;D;0;1;8;39;5.67;0
DI LORENZO;D;53,9;54,6;1;93;6.50;1
DIMARCO;D;73;67,8;1;85;6.78;-5
DJIDJI;D;2;1;8;51;5.96;-1
DJIMSITI;D;2,2;1;8;53;5.76;-1
DODO';D;13,7;20,4;3;80;6.18;6
DOIG;D;11,4;14;5;79;6.09;3
DUMFRIES;D;28,3;25,8;2;66;6.41;-2
EBOSELE;D;3,2;3,8;8;60;6.09;1
EBOSSE;D;2,7;1;8;33;5.75;-2
EBUEHI;D;8,3;2,9;8;78;5.93;-5
EHIZIBUE;D;2,4;1;8;47;5.94;-1
ERLIC;D;3,4;1;8;71;5.79;-2
FARAONI;D;9,2;11,8;5;79;6.06;3
FAZIO;D;1,7;1;8;39;5.69;-1
FERRARI G.;D;1,7;1;8;53;5.77;-1
FLORENZI;D;1,6;1;8;37;6.01;-1
GALLO;D;2,2;3,9;7;80;5.94;2
GATTI;D;10,9;14,9;4;77;6.12;4
GENDREY;D;2,1;2,3;8;84;5.89;0
GILA;D;0;1;8;33;5.62;0
GOSENS;D;3,9;6,8;6;53;6.23;3
GUARINO;D;0;1;8;32;5.89;0
GUESSAND A.;D;0;1;8;33;5.86;0
GUNTER;D;0;1;8;49;5.65;0
GYOMBER;D;2,3;1;8;70;5.68;-1
HATEBOER;D;2,4;1;8;41;5.77;-1
HERNANDEZ T.;D;85,1;73,1;1;91;6.76;-12
HIEN;D;2,8;6,4;6;83;5.96;3
HYSAJ;D;3;1;8;65;5.84;-2
ISMAJLI;D;2,3;1;8;77;5.90;-1
IZZO;D;2,9;5,1;6;78;5.97;2
JUAN JESUS;D;2,8;4,7;7;58;6.12;2
KALULU;D;3,7;1;8;55;5.92;-3
KARSDORP;D;1,8;1;8;47;6.07;-1
KJAER;D;1,5;1;8;44;5.84;-1
KUMBULLA;D;0;1;8;25;5.84;0
KYRIAKOPOULOS;D;2,3;1;8;52;6.02;-1
LAZZARI;D;4,9;1;8;54;5.94;-4
LLORENTE D.;D;2,7;1;8;47;6.08;-2
LOVATO;D;1,8;1;8;55;5.63;-1
LUCUMI';D;2,6;1;8;73;5.80;-2
LUPERTO;D;2,9;3,2;8;91;5.88;0
LYKOGIANNIS;D;1,6;1;8;68;5.84;-1
MAGNANI;D;1,9;1;8;47;5.58;-1
MANCINI;D;11,4;18,7;3;82;6.13;8
MARCHIZZA;D;2,2;2,4;8;72;5.96;0
MARI';D;3;4,8;7;79;5.96;2
MARIO RUI;D;9,4;19,5;3;64;6.33;11
MARTINEZ QUARTA;D;2;1;8;52;6.04;-1
MARUSIC;D;3,5;10,6;5;83;6.01;7
MASINA;D;2,6;1;8;56;5.95;-2
MAZZOCCHI;D;18,5;19,6;3;89;6.10;1
MILENKOVIC;D;10,2;16,7;4;82;6.11;7
OKOLI;D;1,9;1;8;42;5.78;-1
OLIVERA;D;9,5;14,7;4;55;6.36;5
OSTIGARD;D;1,8;1;8;34;6.24;-1
PALOMINO;D;2;1;8;43;5.89;-1
PARISI;D;9,6;5,8;6;55;6.17;-4
PATRIC;D;1,5;1;8;42;5.70;-1
PELLEGRINI LU.;D;1,9;1;8;39;5.87;-1
PEREZ N.;D;4,4;14;4;88;6.03;10
PEZZELLA GIU.;D;2,1;1;8;60;5.59;-1
PIROLA;D;2,8;1;8;76;5.86;-2
PONGRACIC;D;2,1;1;8;62;5.72;-1
POSCH;D;32,5;34,5;1;90;6.28;2
RANIERI L.;D;2,3;1;8;57;5.78;-1
RODRIGUEZ R.;D;2,8;7,2;6;72;6.04;4
ROMAGNOLI;D;19,3;18,4;4;89;6.08;-1
ROMAGNOLI S.;D;1,7;1;8;63;5.68;-1
RRAHMANI;D;25;35,9;1;89;6.31;11
RUGANI;D;0;1;8;37;5.49;0
RUGGERI;D;0;1;8;42;5.80;0
SAMBIA;D;1,4;1;8;48;5.94;0
SCALVINI;D;16,9;28,4;2;78;6.31;11
SCHUURS;D;20,1;21,7;2;88;6.13;2
SINGO;D;4,7;3,9;7;50;6.19;-1
SMALLING;D;33,2;37;1;89;6.32;4
SOPPY;D;1,7;1;8;40;6.25;-1
SOSA;D;0;1;8;44;5.94;0
SOUMAORO;D;1,8;1;8;26;5.71;-1
