Quotazioni Fantacalcio Stagione 2023 24;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
572;P;Por;Meret;Napoli;17;17;0;17;17;0;80;80
4312;P;Por;Maignan;Milan;17;17;0;17;17;0;89;89
2814;P;Por;Provedel;Lazio;16;16;0;16;16;0;68;68
453;P;Por;Szczesny;Juventus;15;15;0;15;15;0;71;71
2428;P;Por;Sommer;Inter;15;15;0;15;15;0;67;67
4270;P;Por;Rui Patricio;Roma;14;14;0;14;14;0;59;59
5876;P;Por;Di Gregorio;Monza;12;12;0;12;12;0;37;37
4431;P;Por;Carnesecchi;Atalanta;11;11;0;11;11;0;38;38
133;P;Por;Skorupski;Bologna;10;10;0;10;10;0;32;32
2170;P;Por;Milinkovic-Savic V.;Torino;10;10;0;10;10;0;31;31
2815;P;Por;Terracciano;Fiorentina;10;10;0;10;10;0;31;31
2211;P;Por;Silvestri;Udinese;9;9;0;9;9;0;31;31
6120;P;Por;Ochoa;Salernitana;9;9;0;9;9;0;30;30
3;P;Por;Radunovic;Cagliari;8;8;0;8;8;0;16;16
2134;P;Por;Falcone;Lecce;8;8;0;8;8;0;22;22
5116;P;Por;Martinez Jo.;Genoa;8;8;0;8;8;0;15;15
4360;P;Por;Caprile;Empoli;7;7;0;7;7;0;14;14
4957;P;Por;Montipo';Verona;7;7;0;7;7;0;13;13
509;P;Por;Consigli;Sassuolo;5;5;0;5;5;0;15;15
4867;P;Por;Turati;Frosinone;5;5;0;5;5;0;6;6
2178;P;Por;Cragno;Sassuolo;4;4;0;4;4;0;8;8
2792;P;Por;Musso;Atalanta;3;3;0;3;3;0;15;15
6403;P;Por;Christensen O.;Fiorentina;3;3;0;3;3;0;5;5
673;P;Por;Perisan;Empoli;2;2;0;2;2;0;3;3
4;P;Por;Sportiello;Milan;1;1;0;1;1;0;1;1
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1
159;P;Por;Sepe;Salernitana;1;1;0;1;1;0;1;1
188;P;Por;Leali;Genoa;1;1;0;1;1;0;1;1
217;P;Por;Lamanna;Monza;1;1;0;1;1;0;1;1
218;P;Por;Perin;Juventus;1;1;0;1;1;0;5;5
219;P;Por;Sommariva;Genoa;1;1;0;1;1;0;1;1
510;P;Por;Pegolo;Sassuolo;1;1;0;1;1;0;1;1
511;P;Por;Perilli;Verona;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
574;P;Por;Scuffet;Cagliari;1;1;0;1;1;0;1;1
610;P;Por;Gollini;Napoli;1;1;0;1;1;0;1;1
761;P;Por;Audero;Inter;1;1;0;1;1;0;1;1
1926;P;Por;Di Gennaro;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
1946;P;Por;Aresti;Cagliari;1;1;0;1;1;0;1;1
1947;P;Por;Fiorillo;Salernitana;1;1;0;1;1;0;1;1
2294;P;Por;Cerofolini;Fiorentina;1;1;0;1;1;0;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
2338;P;Por;Costil;Salernitana;1;1;0;1;1;0;1;1
2722;P;Por;Ravaglia F.;Bologna;1;1;0;1;1;0;1;1
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1
5502;P;Por;Adamonis;Lazio;1;1;0;1;1;0;1;1
5707;P;Por;Piana;Udinese;1;1;0;1;1;0;1;1
5822;P;Por;Bagnolini;Bologna;1;1;0;1;1;0;1;1
5832;P;Por;Luis Maximiano;Lazio;1;1;0;1;1;0;1;1
5841;P;Por;Svilar;Roma;1;1;0;1;1;0;1;1
5853;P;Por;Sorrentino A.;Monza;1;1;0;1;1;0;1;1
6184;P;Por;Martinelli T.;Fiorentina;1;1;0;1;1;0;1;1
6210;P;Por;Popa;Torino;1;1;0;1;1;0;1;1
6234;P;Por;Stubljar;Empoli;1;1;0;1;1;0;1;1
6255;P;Por;Gori;Monza;1;1;0;1;1;0;1;1
6406;P;Por;Borbei;Lecce;1;1;0;1;1;0;1;1
254;D;E;Dimarco;Inter;19;19;0;18;18;0;81;72
2816;D;"Dd;E";Di Lorenzo;Napoli;18;18;0;18;18;0;75;75
4292;D;"Ds;E";Hernandez T.;Milan;17;17;0;17;17;0;83;86
5877;D;E;Carlos Augusto;Monza;17;17;0;17;17;0;72;57
6066;D;"Dd;Dc";Posch;Bologna;16;16;0;18;18;0;53;56
554;D;E;Zappacosta;Atalanta;15;15;0;14;14;0;48;42
4237;D;"Dd;Ds;Dc";Danilo;Juventus;15;15;0;18;18;0;44;58
4245;D;Dc;Smalling;Roma;15;15;0;15;15;0;55;55
4409;D;Dc;Rrahmani;Napoli;14;14;0;14;14;0;44;44
6041;D;Dc;Schuurs;Torino;14;14;0;14;14;0;46;46
460;D;Dc;Romagnoli;Lazio;13;13;0;13;13;0;36;36
2120;D;Dc;Bastoni;Inter;13;13;0;13;13;0;43;43
2788;D;Dc;Bremer;Juventus;13;13;0;13;13;0;48;48
4751;D;Dc;Tomori;Milan;13;13;0;13;13;0;43;43
5067;D;E;Bakker;Atalanta;12;12;0;11;11;0;42;35
5481;D;"Dd;Ds;E";Mazzocchi;Salernitana;12;12;0;14;14;0;37;41
5513;D;E;Dumfries;Inter;12;12;0;11;11;0;47;39
513;D;Dc;Acerbi;Inter;11;11;0;11;11;0;32;32
2296;D;Dc;Mancini;Roma;11;11;0;11;11;0;26;26
2525;D;"Dd;Dc";Darmian;Inter;11;11;0;13;13;0;30;33
2724;D;Dc;Buongiorno;Torino;11;11;0;11;11;0;23;23
5480;D;"Dd;E";Ebuehi;Empoli;11;11;0;11;11;0;17;17
5851;D;"Ds;E";Doig;Verona;11;11;0;11;11;0;20;20
